id,artist,title,country,discogs_release_id,discogs_url,cover_url
"119","Ayers, Kevin","Day By Day","Canada","3943834","https://www.discogs.com/release/3943834-Kevin-Ayers-Sweet-Deceiver",""
"120","Ayers, Kevin","Deia…Vu","Canada","1473743","https://www.discogs.com/release/1473743-Kevin-Ayers-Thats-What-You-Get-Babe",""
"121","Ayers, Kevin","Deia…Vu","Canada","1822731","https://www.discogs.com/release/1822731-Kevin-Ayers-Singing-The-Bruise-The-BBC-Sessions-1970-72",""
"122","Ayers, Kevin","Deia…Vu","Canada","2559533","https://www.discogs.com/release/2559533-Kevin-Ayers-Money-Money-Money",""
"126","Ayers, Kevin","Diamond Jack And The Queen Of Pain","Canada","4149614","https://www.discogs.com/release/4149614-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"130","Ayers, Kevin","Document Series Presents","Canada","3374032","https://www.discogs.com/release/3374032-Kevin-Ayers-Didnt-Feel-Lonely-Till-I-Thought-Of-You-The-Island-Records-Years",""
"137","Ayers, Kevin","Falling Up","Canada","13402466","https://www.discogs.com/release/13402466-Kevin-Ayers-Odd-Ditties",""
"138","Ayers, Kevin","Falling Up","Canada","13402466","https://www.discogs.com/release/13402466-Kevin-Ayers-Odd-Ditties",""
"139","Ayers, Kevin","Falling Up","Canada","8592014","https://www.discogs.com/release/8592014-Kevin-Ayers-Still-Life-With-Guitars",""
"140","Ayers, Kevin","Falling Up","Canada","1755871","https://www.discogs.com/release/1755871-Kevin-Ayers-Thats-What-You-Get-Babe",""
"141","Ayers, Kevin","Falling Up","Canada","3854270","https://www.discogs.com/release/3854270-Kevin-Ayers-Caribbean-Moon",""
"142","Ayers, Kevin","Falling Up","Canada","7344912","https://www.discogs.com/release/7344912-Kevin-Ayers-Sweet-Deceiver",""
"143","Ayers, Kevin","Falling Up","Canada","5712456","https://www.discogs.com/release/5712456-Kevin-Ayers-Mike-Oldfield-Robert-Wyatt-David-Bedford-Lol-Coxhill-Six-Beautiful-Girls-The-Garden-Of-L",""
"145","Ayers, Kevin","Feeling This Way","Canada","2231443","https://www.discogs.com/release/2231443-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"166","Ayers, Kevin","Money Money Money","Canada","1569955","https://www.discogs.com/release/1569955-Kevin-Ayers-Sweet-Deceiver",""
"167","Ayers, Kevin","Money Money Money","Canada","1569955","https://www.discogs.com/release/1569955-Kevin-Ayers-Sweet-Deceiver",""
"168","Ayers, Kevin","Money Money Money","Canada","13206802","https://www.discogs.com/release/13206802-Kevin-Ayers-The-Kevin-Ayers-Collection",""
"169","Ayers, Kevin","Money Money Money","Canada","6670802","https://www.discogs.com/release/6670802-Kevin-Ayers-After-The-Show",""
"170","Ayers, Kevin","Mr. Cool","Canada","2931730","https://www.discogs.com/release/2931730-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"171","Ayers, Kevin","Mr. Cool","Canada","2757410","https://www.discogs.com/release/2757410-Kevin-Ayers-The-Kevin-Ayers-Collection",""
"172","Ayers, Kevin","Mr. Cool","Canada","6885089","https://www.discogs.com/release/6885089-Kevin-Ayers-Sweet-Deceiver",""
"173","Ayers, Kevin","Odd Ditties","Canada","978820","https://www.discogs.com/release/978820-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"174","Ayers, Kevin","Odd Ditties","Canada","2200680","https://www.discogs.com/release/2200680-Kevin-Ayers-Diamond-Jack-And-The-Queen-Of-Pain",""
"176","Ayers, Kevin","Odd Ditties","Canada","1790007","https://www.discogs.com/release/1790007-Ayers-And-Archibald-Banana-Follies",""
"178","Ayers, Kevin","Odd Ditties","Canada","2545341","https://www.discogs.com/release/2545341-Kevin-Ayers-And-The-Whole-World-Hyde-Park-Free-Concert-1970",""
"179","Ayers, Kevin","Odd Ditties","Canada","2129518","https://www.discogs.com/release/2129518-Kevin-Ayers-Featuring-Mike-Oldfield-David-Bedford-The-Joy-Of-A-Toy-Shooting-At-The-Moon",""
"180","Ayers, Kevin","Odd Ditties","Canada","5832228","https://www.discogs.com/release/5832228-Kevin-Ayers-The-Up-Song",""
"181","Ayers, Kevin","Odd Ditties","Chilie","2723793","https://www.discogs.com/release/2723793-Kevin-Ayers-Animals",""
"182","Ayers, Kevin","Odd Ditties","Chilie","2723793","https://www.discogs.com/release/2723793-Kevin-Ayers-Animals",""
"187","Ayers, Kevin","Original Album Series","Denmark","1767980","https://www.discogs.com/release/1767980-Kevin-Ayers-The-Wizards-Of-Twiddly-Turn-The-Lights-Down",""
"188","Ayers, Kevin","Puis-Je?","Denmark","1640557","https://www.discogs.com/release/1640557-Kevin-Ayers-Odd-Ditties",""
"189","Ayers, Kevin","Rainbow Takeaway","Denmark","2778156","https://www.discogs.com/release/2778156-Kevin-Ayers-Thats-What-You-Get-Babe",""
"190","Ayers, Kevin","Rainbow Takeaway","Denmark","2778156","https://www.discogs.com/release/2778156-Kevin-Ayers-Thats-What-You-Get-Babe",""
"191","Ayers, Kevin","Rainbow Takeaway","El Salvador","2148643","https://www.discogs.com/release/2148643-Kevin-Ayers-Falling-Up",""
"192","Ayers, Kevin","Rainbow Takeaway","El Salvador","2148643","https://www.discogs.com/release/2148643-Kevin-Ayers-Falling-Up",""
"200","Ayers, Kevin","Shooting At The Moon","EU","764762","https://www.discogs.com/release/764762-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"201","Ayers, Kevin","Shooting At The Moon","EU","4649353","https://www.discogs.com/release/4649353-Kevin-Ayers-Still-Life-With-Guitar",""
"209","Ayers, Kevin","Songs For Insane Times - An Anthology 1969 - 1980","EU","4553576","https://www.discogs.com/release/4553576-Kevin-Ayres-And-The-Whole-World-Stranger-In-Blue-Suede-Shoes",""
"210","Ayers, Kevin","Star","EU","4327096","https://www.discogs.com/release/4327096-Kevin-Ayers-Oh-Wot-A-Dream",""
"211","Ayers, Kevin","Star","EU","4327096","https://www.discogs.com/release/4327096-Kevin-Ayers-Oh-Wot-A-Dream",""
"212","Ayers, Kevin","Stepping Out","EU","15129703","https://www.discogs.com/release/15129703-Kevin-Ayers-Diamond-Jack-And-The-Queen-Of-Pain",""
