Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Amos, Tori",Spark,DVD,Yes,Epic,34D 79804,2003,Australia,,No,https://www.discogs.com/release/1385015-Tori-Amos-A-Sorta-Fairytale, $6.44 ,1385015,,1385015
"Amos, Tori",Spark,CD,Yes,Atlantic,2-84651,2000,Australia,HyperCD,No,https://www.discogs.com/release/1197002-Tori-Amos-Concertina, $6.84 ,1197002,,1197002
"Amos, Tori",Special 3 Track Radio Sampler,CD,Yes,Mercury Classics / Deutsche Grammophon,B0017441-00,2012,Australia,Deluxe Edition,No,https://www.discogs.com/release/3921801-Tori-Amos-Gold-Dust, $7.30 ,3921801,,3921801
"Amos, Tori",Strange Little Girls,CD,Yes,Atlantic,PRCD 300630,2001,Australia,Promo,No,https://www.discogs.com/release/871906-Tori-Amos-Special-3-Track-Radio-Sampler, $7.50 ,871906,,871906
"Amos, Tori",Strange Little Girls,CD,Yes,Epic,ESK 51344,2005,Australia,Promo,No,https://www.discogs.com/release/1762749-Tori-Amos-Sleeps-With-Butterflies, $7.66 ,1762749,,1762749
"Amos, Tori",Strange Little Girls,"12"" Vinyl",Yes,EastWest,A5494T,1996,Australia,,No,https://www.discogs.com/release/54599-Tori-Amos-Professional-Widow-Hey-Jupiter, $7.74 ,54599,,54599
"Amos, Tori",Strange Little Girls,CD / DVD,Yes,Universal Republic Records,B0012901-10,2009,Australia,Deluxe Edition,No,https://www.discogs.com/release/1784716-Tori-Amos-Abnormally-Attracted-To-Sin, $7.97 ,1784716,,1784716
"Amos, Tori",Strange Little Girls,CD  / DVD,Yes,Epic,88697 08725 2,2007,Australia,Limited Edition,No,https://www.discogs.com/release/1001139-Tori-Amos-American-Doll-Posse, $8.89 ,1001139,,1001139
"Amos, Tori",Tales Of A Librarian (A Tori Amos Collection),CD,Yes,Epic,88697 09554 2,2007,Australia,Promo,No,https://www.discogs.com/release/2489938-Tori-Amos-Big-Wheel, $20.00 ,2489938,,2489938
"Amos, Tori",Tales Of A Librarian (A Tori Amos Collection),"12"" Vinyl",Yes,Rhino Records / Atlantic,R1 695082,2023,Australia,Record Store Day,Yes,https://www.discogs.com/release/26839190-Tori-Amos-Little-Earthquakes-The-B-Sides, $21.66 ,26839190,,26839190
